generation,strategy,count,share
47,ALLC,0,0.000000
47,ALLD,0,0.000000
47,CTFT,41,0.205000
47,Empath,38,0.190000
47,GRIM,1,0.005000
47,PAVLOV,62,0.310000
47,PROBER,18,0.090000
47,Reflector,1,0.005000
47,TFT,39,0.195000
48,ALLC,0,0.000000
48,ALLD,0,0.000000
48,CTFT,41,0.205000
48,Empath,38,0.190000
48,GRIM,1,0.005000
48,PAVLOV,62,0.310000
48,PROBER,18,0.090000
48,Reflector,1,0.005000
48,TFT,39,0.195000
49,ALLC,0,0.000000
49,ALLD,0,0.000000
49,CTFT,41,0.205000
49,Empath,38,0.190000
49,GRIM,1,0.005000
49,PAVLOV,62,0.310000
49,PROBER,18,0.090000
49,Reflector,1,0.005000
49,TFT,39,0.195000
50,ALLC,0,0.000000
50,ALLD,0,0.000000
50,CTFT,41,0.205000
50,Empath,38,0.190000
50,GRIM,1,0.005000
50,PAVLOV,62,0.310000
50,PROBER,18,0.090000
50,Reflector,1,0.005000
50,TFT,39,0.195000
