generation,strategy,count,share
40,GRIM,0,0.000000
40,PAVLOV,2,0.010000
40,PROBER,110,0.550000
40,Reflector,2,0.010000
40,TFT,0,0.000000
41,ALLC,1,0.005000
41,ALLD,1,0.005000
41,CTFT,67,0.335000
41,Empath,6,0.030000
41,GRIM,0,0.000000
41,PAVLOV,0,0.000000
41,PROBER,124,0.620000
41,Reflector,1,0.005000
41,TFT,0,0.000000
42,ALLC,0,0.000000
42,ALLD,0,0.000000
42,CTFT,73,0.365000
42,Empath,6,0.030000
42,GRIM,0,0.000000
42,PAVLOV,1,0.005000
42,PROBER,117,0.585000
42,Reflector,2,0.010000
42,TFT,1,0.005000
43,ALLC,0,0.000000
43,ALLD,0,0.000000
43,CTFT,67,0.335000
43,Empath,8,0.040000
43,GRIM,0,0.000000
43,PAVLOV,0,0.000000
43,PROBER,121,0.605000
43,Reflector,2,0.010000
43,TFT,2,0.010000
44,ALLC,1,0.005000
44,ALLD,0,0.000000
44,CTFT,74,0.370000
44,Empath,11,0.055000
44,GRIM,1,0.005000
44,PAVLOV,0,0.000000
44,PROBER,109,0.545000
44,Reflector,0,0.000000
44,TFT,4,0.020000
45,ALLC,0,0.000000
45,ALLD,0,0.000000
45,CTFT,67,0.335000
45,Empath,6,0.030000
45,GRIM,0,0.000000
45,PAVLOV,0,0.000000
45,PROBER,120,0.600000
45,Reflector,1,0.005000
45,TFT,6,0.030000
46,ALLC,1,0.005000
46,ALLD,0,0.000000
46,CTFT,71,0.355000
46,Empath,3,0.015000
46,GRIM,0,0.000000
46,PAVLOV,0,0.000000
46,PROBER,118,0.590000
46,Reflector,1,0.005000
46,TFT,6,0.030000
47,ALLC,1,0.005000
47,ALLD,1,0.005000
47,CTFT,69,0.345000
47,Empath,3,0.015000
47,GRIM,0,0.000000
47,PAVLOV,0,0.000000
47,PROBER,118,0.590000
47,Reflector,3,0.015000
47,TFT,5,0.025000
48,ALLC,0,0.000000
48,ALLD,0,0.000000
48,CTFT,74,0.370000
48,Empath,4,0.020000
48,GRIM,0,0.000000
48,PAVLOV,0,0.000000
48,PROBER,112,0.560000
48,Reflector,6,0.030000
48,TFT,4,0.020000
49,ALLC,0,0.000000
49,ALLD,1,0.005000
49,CTFT,62,0.310000
49,Empath,4,0.020000
49,GRIM,0,0.000000
49,PAVLOV,1,0.005000
49,PROBER,122,0.610000
49,Reflector,7,0.035000
49,TFT,3,0.015000
50,ALLC,0,0.000000
50,ALLD,0,0.000000
50,CTFT,53,0.265000
50,Empath,8,0.040000
50,GRIM,1,0.005000
50,PAVLOV,1,0.005000
50,PROBER,127,0.635000
50,Reflector,9,0.045000
50,TFT,1,0.005000
