generation,strategy,count,share
42,PAVLOV,0,0.000000
42,PROBER,179,0.895000
42,TFT,4,0.020000
43,ALLC,0,0.000000
43,ALLD,0,0.000000
43,CTFT,17,0.085000
43,GRIM,0,0.000000
43,PAVLOV,0,0.000000
43,PROBER,179,0.895000
43,TFT,4,0.020000
44,ALLC,0,0.000000
44,ALLD,0,0.000000
44,CTFT,17,0.085000
44,GRIM,0,0.000000
44,PAVLOV,0,0.000000
44,PROBER,179,0.895000
44,TFT,4,0.020000
45,ALLC,0,0.000000
45,ALLD,0,0.000000
45,CTFT,17,0.085000
45,GRIM,0,0.000000
45,PAVLOV,0,0.000000
45,PROBER,179,0.895000
45,TFT,4,0.020000
46,ALLC,0,0.000000
46,ALLD,0,0.000000
46,CTFT,17,0.085000
46,GRIM,0,0.000000
46,PAVLOV,0,0.000000
46,PROBER,179,0.895000
46,TFT,4,0.020000
47,ALLC,0,0.000000
47,ALLD,0,0.000000
47,CTFT,17,0.085000
47,GRIM,0,0.000000
47,PAVLOV,0,0.000000
47,PROBER,179,0.895000
47,TFT,4,0.020000
48,ALLC,0,0.000000
48,ALLD,0,0.000000
48,CTFT,17,0.085000
48,GRIM,0,0.000000
48,PAVLOV,0,0.000000
48,PROBER,179,0.895000
48,TFT,4,0.020000
49,ALLC,0,0.000000
49,ALLD,0,0.000000
49,CTFT,17,0.085000
49,GRIM,0,0.000000
49,PAVLOV,0,0.000000
49,PROBER,179,0.895000
49,TFT,4,0.020000
50,ALLC,0,0.000000
50,ALLD,0,0.000000
50,CTFT,17,0.085000
50,GRIM,0,0.000000
50,PAVLOV,0,0.000000
50,PROBER,179,0.895000
50,TFT,4,0.020000
51,ALLC,0,0.000000
51,ALLD,0,0.000000
51,CTFT,17,0.085000
51,GRIM,0,0.000000
51,PAVLOV,0,0.000000
51,PROBER,179,0.895000
51,TFT,4,0.020000
52,ALLC,0,0.000000
52,ALLD,0,0.000000
52,CTFT,17,0.085000
52,GRIM,0,0.000000
52,PAVLOV,0,0.000000
52,PROBER,179,0.895000
52,TFT,4,0.020000
